,0,1,2
0J0,1000,1000,200
2A8,1000,1000,200
KEET,3.80,4.15,200
8A0,4.45,4.10,200
KALX,3.60,4.10,200
KAIV,1000,1000,200
79J,2.99,2.29,200
KANB,3.79,3.24,200
1M3,1000,1000,200
26A,1000,1000,200
0R1,1000,1000,200
KAUO,3.50,3.30,200
1R8,1000,3.85,200
5R7,1000,1000,200
KEKY,4.48,4.59,200
KBHM,4.83,5.40,200
12J,4.78,3.90,200
09A,1000,1000,200
61A,1000,1000,200
KPYP,1000,1000,200
0A8,1000,1000,200
5R1,1000,1000,200
02A,4.45,3.45,200
11A,1000,1000,200
9A4,1000,1000,200
15A,1000,1000,200
KCMD,3.50,2.99,200
4R9,1000,1000,200
KDCU,4.50,4.30,200
KDYA,4.20,3.80,200
KDHN,4.61,4.31,200
3M2,1000,1000,200
14J,1000,1000,200
KEDN,3.27,2.35,200
KEUF,4.00,4.30,200
KGZH,3.25,2.99,200
KCQF,3.85,3.50,200
M95,3.16,1000,200
0J4,5.85,5.35,200
5R4,1000,1000,200
4A9,4.00,3.70,200
KGAD,3.90,4.00,200
33J,1000,1000,200
7A0,1000,1000,200
KPRN,1000,1000,200
KJKA,4.20,4.04,200
8A1,1000,1000,200
1M4,4.63,4.81,200
KHAB,3.10,1000,200
5M0,1000,1000,200
M38,1000,1000,200
0J6,4.35,2.75,200
KHSV,4.50,4.13,200
KMDQ,4.58,4.13,200
3M5,1000,1000,200
4R3,1000,1000,200
KJFX,3.99,4.29,200
7A3,1000,1000,200
04A,1000,1000,200
A08,4.23,3.50,200
KMOB,6.18,5.41,200
KBFM,5.35,5.77,200
KMVC,1000,3.62,200
KMGM,5.15,4.90,200
KMSL,3.75,3.95,200
20A,1000,1000,200
71J,3.26,3.25,200
KPLR,3.60,3.60,200
1A9,3.20,2.74,200
3M8,1000,1000,200
7A5,1000,1000,200
M22,1000,1000,200
1A4,1000,1000,200
4A6,3.90,3.45,200
KSEM,3.20,2.74,200
2R5,1000,1000,200
7A6,1000,1000,200
KSCD,3.97,1000,200
PADK,1000,1000,200
PAKH,1000,1000,200
Z13,1000,1000,200
PFAK,1000,1000,200
PAUT,1000,1000,200
PAUK,1000,1000,200
5A8,1000,1000,200
Z25,1000,1000,200
PFAL,1000,1000,200
PAFM,1000,1000,200
80A,1000,1000,200
PAKP,1000,1000,200
PANC,5.37,2.80,200
PAMR,5.45,3.81,200
PALH,5.37,2.80,200
A13,1000,1000,200
PANI,8.89,7.29,200
PANV,1000,1000,200
PARC,1000,1000,200
PAAK,1000,1000,200
4A2,1000,1000,200
PATQ,1000,1000,200
PABR,1000,1000,200
PABA,1000,1000,200
Z47,1000,1000,200
Z48,1000,1000,200
Z52,1000,1000,200
PAWB,1000,1000,200
PABE,6.94,5.97,200
PABT,8.25,7.55,200
PAGQ,1000,1000,200
Z91,1000,1000,200
PABV,1000,1000,200
5BK,1000,1000,200
BYA,1000,1000,200
PFKT,1000,1000,200
PABL,1000,1000,200
PATW,1000,1000,200
PACE,1000,1000,200
PACI,1000,1000,200
5CD,1000,1000,200
PALR,1000,1000,200
PACK,1000,1000,200
PFCB,1000,1000,200
PAVA,1000,1000,200
CKX,1000,1000,200
PAJC,1000,1000,200
KCL,1000,1000,200
A79,1000,1000,200
CZN,1000,1000,200
CZO,1000,1000,200
CXC,1000,1000,200
PACH,1000,1000,200
PACR,1000,1000,200
CHP,1000,1000,200
PFCL,1000,1000,200
PACL,1000,1000,200
CLF,1000,1000,200
PACD,1000,1000,200
PACX,1000,1000,200
JLA,1000,1000,200
Z93,1000,1000,200
CKU,7.26,5.95,200
PACV,1000,1000,200
K29,1000,1000,200
PACJ,1000,1000,200
DCK,1000,1000,200
PASC,7.98,4.31,200
PADE,1000,1000,200
D66,1000,1000,200
PADL,7.27,7.07,200
PAEG,1000,1000,200
PAEE,1000,1000,200
PAII,1000,1000,200
KEK,1000,1000,200
PFEL,1000,1000,200
PAEM,1000,1000,200
2Z2,1000,1000,200
2Z3,1000,1000,200
PAFA,5.37,7.92,200
PAAN,1000,1000,200
PAKF,1000,1000,200
PAFL,1000,1000,200
3Z1,1000,1000,200
FLT,1000,1000,200
PFYU,1000,1000,200
PAGB,1000,1000,200
PAGA,1000,1000,200
PAGM,1000,1000,200
AQY,1000,1000,200
KGZ,1000,1000,200
PAGL,1000,1000,200
GNU,1000,1000,200
PAGX,1000,1000,200
PAGK,1000,1000,200
PAGS,5.99,6.79,200
PAHN,6.49,7.32,200
PAHV,1000,1000,200
PAHC,1000,1000,200
PAHO,1000,1000,200
PAOH,1000,1000,200
PAHP,1000,1000,200
5HO,1000,1000,200
4Z5,1000,1000,200
PAHU,1000,1000,200
PAHL,1000,1000,200
PAIG,1000,1000,200
PAIL,6.99,5.99,200
4Z9,1000,1000,200
PAJN,1000,1000,200
PAFE,1000,1000,200
PALG,1000,1000,200
PAKV,1000,1000,200
5Z5,1000,1000,200
Z90,1000,1000,200
PAKY,1000,1000,200
PFKA,1000,1000,200
5KS,1000,1000,200
RK1,1000,1000,200
PAEN,4.94,3.30,200
PAKT,5.89,7.07,200
PAIK,1000,1000,200
PAVC,1000,1000,200
PAKN,6.99,5.99,200
PAKI,1000,1000,200
PAVL,1000,1000,200
PAKW,1000,1000,200
PAOB,1000,1000,200
PADQ,7.40,7.49,200
PAKD,1000,1000,200
PFKK,1000,1000,200
PAJZ,1000,1000,200
PADY,1000,1000,200
PFKO,1000,1000,200
PAOT,7.66,6.07,200
PAKK,1000,1000,200
PFKU,1000,1000,200
PAKL,1000,1000,200
PFKW,1000,1000,200
PAGG,1000,1000,200
Z55,1000,1000,200
PALB,1000,1000,200
9Z9,1000,1000,200
9Z8,1000,1000,200
2AK,1000,1000,200
4AK,1000,1000,200
PAML,1000,1000,200
PAMB,1000,1000,200
PADM,1000,1000,200
MYK,1000,1000,200
PAMX,1000,1000,200
AK0,1000,1000,200
PAMC,1000,1000,200
PAIN,1000,1000,200
PAMY,1000,1000,200
PFME,1000,1000,200
PAMD,1000,1000,200
PAMH,1000,1000,200
51Z,1000,1000,200
PAMO,1000,1000,200
76Z,1000,1000,200
5NK,1000,1000,200
KEB,1000,1000,200
PANA,1000,1000,200
PAPK,1000,1000,200
PAOU,1000,1000,200
PANN,5.57,4.37,200
PANW,1000,1000,200
PAEW,1000,1000,200
PAGT,1000,1000,200
PAFS,1000,1000,200
PAKO,1000,1000,200
NIN,1000,1000,200
PAWN,1000,1000,200
PAOM,7.42,5.57,200
94Z,1000,1000,200
PANO,1000,1000,200
PFNO,1000,1000,200
95Z,1000,1000,200
PAOR,1000,1000,200
PAQT,1000,1000,200
PANU,1000,1000,200
SXP,1000,1000,200
PPIT,1000,1000,200
6R7,1000,1000,200
Z17,1000,1000,200
4K5,1000,1000,200
Z40,1000,1000,200
PAAQ,4.79,2.99,200
AK1,1000,1000,200
PAXK,1000,1000,200
4K0,1000,1000,200
PAPE,1000,1000,200
PAPG,6.00,4.50,200
PAPN,1000,1000,200
UGB,1000,1000,200
0AK,1000,1000,200
PAPM,1000,1000,200
PAPO,1000,1000,200
PPIZ,1000,1000,200
PAKX,1000,1000,200
PGM,1000,1000,200
PAPH,1000,1000,200
ORI,1000,1000,200
PAOC,1000,1000,200
PAPR,1000,1000,200
01A,1000,1000,200
20K,1000,1000,200
5QC,1000,1000,200
PAQH,1000,1000,200
6AK,1000,1000,200
RMP,1000,1000,200
RDV,1000,1000,200
PARY,1000,1000,200
PARS,1000,1000,200
Z81,1000,1000,200
PASD,1000,1000,200
PASA,1000,1000,200
PACM,1000,1000,200
PASK,1000,1000,200
PASO,1000,1000,200
PAWD,7.40,7.90,200
PAHX,1000,1000,200
PFSH,1000,1000,200
PASP,1000,1000,200
PASH,1000,1000,200
PAGH,1000,1000,200
PASI,6.24,7.62,200
PAGY,1000,1000,200
PASW,8.00,9.25,200
PASL,1000,1000,200
PASX,5.89,4.00,200
PFWS,1000,1000,200
PAPB,1000,1000,200
PASM,7.83,6.89,200
PAMK,1000,1000,200
PASN,1000,1000,200
WBB,1000,1000,200
SVS,1000,1000,200
SRV,1000,1000,200
PAST,1000,1000,200
PPCT,1000,1000,200
PATK,1000,1000,200
TSG,1000,1000,200
PATA,1000,1000,200
PAKA,1000,1000,200
8KA,1000,1000,200
PATM,1000,1000,200
Z14,1000,1000,200
2K5,1000,1000,200
PATE,1000,1000,200
3T4,1000,1000,200
PATG,1000,1000,200
PFTO,6.15,5.15,200
PAOO,1000,1000,200
9AK,1000,1000,200
TLT,1000,1000,200
A61,1000,1000,200
4KA,1000,1000,200
A63,1000,1000,200
9A8,1000,1000,200
PAUM,1000,1000,200
PAUN,8.05,7.00,200
PADU,1000,1000,200
PAVD,1000,6.98,200
K55,1000,1000,200
PAVE,1000,1000,200
PAWI,1000,1000,200
PAIW,1000,1000,200
PAWS,5.25,3.45,200
PAWM,1000,1000,200
PAWR,1000,1000,200
PAUO,1000,1000,200
WSM,1000,1000,200
PAWG,6.45,6.70,200
PAYA,6.50,5.50,200
3AK,1000,1000,200
A67,1000,1000,200
A69,1000,1000,200
A68,1000,1000,200
A57,1000,1000,200
A77,1000,1000,200
L20,1000,1000,200
P01,1000,1000,200
E51,1000,1000,200
E95,4.75,5.25,200
P04,1000,1000,200
KBXK,1000,1000,200
KIFP,4.30,4.57,200
A20,1000,1000,200
A09,1000,1000,200
KCGZ,3.39,3.10,200
KCHD,4.25,3.45,200
P19,1000,1000,200
E91,1000,1000,200
Z95,1000,1000,200
KCFT,1000,1000,200
KAZC,5.35,4.95,200
P08,3.49,2.76,200
P52,3.39,2.99,200
P03,1000,1000,200
KDGL,1000,1000,200
KDUG,4.95,4.75,200
E60,4.75,3.75,200
KFLG,4.39,4.29,200
KFHU,4.95,4.91,200
E63,1000,1000,200
KGEU,4.55,4.95,200
P13,1000,1000,200
KGYR,4.79,4.79,200
40G,1000,1000,200
KGCN,4.39,4.29,200
P14,3.79,3.39,200
0V7,1000,1000,200
E67,1000,1000,200
KIGM,3.97,2.75,200
KHII,4.15,3.25,200
KAVQ,4.60,3.90,200
KMZJ,5.35,5.20,200
L41,1000,1000,200
A39,1000,1000,200
L25,1000,1000,200
KFFZ,4.60,3.70,200
KPGA,4.60,4.10,200
P20,4.99,3.22,200
KPAN,1000,1000,200
1G4,1000,1000,200
L37,1000,1000,200
P48,1000,1000,200
KPHX,5.13,4.50,200
KIWA,5.13,4.50,200
KDVT,5.44,5.39,200
E37,1000,1000,200
P10,1000,1000,200
KPRC,4.58,4.88,200
KSAD,3.90,2.90,200
44A,1000,1000,200
E77,1000,1000,200
KSDL,5.13,4.50,200
KSEZ,4.34,4.29,200
P23,1000,1000,200
E78,1000,1000,200
KSOW,3.70,2.19,200
KJTC,3.50,2.67,200
KSJN,1000,1000,200
E81,1000,1000,200
KTYL,1000,1000,200
U30,1000,1000,200
P29,1000,1000,200
T03,1000,1000,200
KTUS,4.99,3.90,200
KRYN,4.49,3.90,200
E24,1000,1000,200
1Z1,1000,1000,200
E25,4.00,4.45,200
P33,1000,1000,200
KCMR,3.39,3.39,200
KRQE,1000,1000,200
KINW,3.79,3.39,200
KNYL,3.16,3.31,200
M73,1000,1000,200
KADF,3.68,3.04,200
KCVK,4.25,1000,200
M60,1000,1000,200
M74,1000,1000,200
AK76,1000,1000,200
KOLS,5.50,4.61,200
KBVX,4.75,4.50,200
KSUZ,3.26,2.99,200
KVBT,4.20,3.98,200
4M1,1000,1000,200
17A,1000,1000,200
KBYH,1000,3.43,200
KHKA,4.86,4.14,200
4M2,1000,1000,200
M36,1000,1000,200
37T,1000,1000,200
KCDH,1000,1000,200
4M3,1000,1000,200
4M8,1000,1000,200
H35,3.49,3.99,200
KCCA,1000,1000,200
2A2,1000,1000,200
KDRP,1000,1000,200
KCXW,3.65,3.75,200
4M9,3.54,3.50,200
KCRT,3.95,3.15,200
32A,1000,1000,200
KDEQ,4.26,3.74,200
5M1,1000,1000,200
5M5,1000,1000,200
4M5,1000,1000,200
0M0,3.45,3.60,200
KELD,3.10,3.15,200
F43,1000,1000,200
KFYV,3.48,4.02,200
KXNA,4.68,3.25,200
KFLP,4.38,2.99,200
5M4,1000,1000,200
KFCY,3.85,3.55,200
KFSM,4.91,5.23,200
12A,1000,1000,200
5M8,1000,1000,200
0R6,1000,1000,200
KHRO,4.39,4.29,200
6M0,1000,1000,200
KHBZ,4.59,4.39,200
KHEE,3.85,4.34,200
2A6,1000,1000,200
M18,3.26,2.28,200
6M2,1000,1000,200
KHOT,3.39,3.71,200
H34,1000,1000,200
KJBR,4.29,3.77,200
M32,1000,1000,200
3M0,1000,1000,200
KLIT,5.59,4.39,200
KAGO,1000,1000,200
M78,1000,1000,200
KMXA,1000,1000,200
6M7,1000,1000,200
6M8,1000,1000,200
4A5,1000,1000,200
7M1,5.42,3.50,200
42A,2.84,3.14,200
KMEZ,4.66,4.62,200
KLLQ,3.95,3.75,200
KMPJ,1000,1000,200
KBDQ,3.65,3.75,200
7M3,3.63,2.94,200
KBPK,4.29,4.18,200
7M2,1000,1000,200
M19,4.10,3.35,200
KORK,3.99,3.67,200
7M4,1000,1000,200
7M5,1000,1000,200
KPGR,3.52,2.99,200
7M6,1000,1000,200
7M7,1000,1000,200
M77,1000,1000,200
KPBF,2.95,3.40,200
M70,3.49,3.39,200
4F7,1000,1000,200
7M8,1000,1000,200
KRUE,3.85,3.50,200
7M9,1000,1000,200
KSRC,4.83,4.66,200
KROG,4.68,4.38,200
9M8,1000,1000,200
99A,1000,1000,200
KSLG,3.79,3.99,200
KASG,4.10,4.00,200
55M,1000,1000,200
KTXK,4.98,4.99,200
M27,1000,1000,200
3M9,1000,1000,200
4F8,1000,1000,200
KSGT,4.59,4.25,200
8M2,1000,1000,200
KAWM,2.73,2.82,200
A26,1000,1000,200
L54,1000,1000,200
KARG,3.44,3.15,200
L70,1000,1000,200
KAAT,1000,4.74,200
A24,1000,1000,200
2O3,1000,1000,200
KAPV,3.45,2.98,200
KACV,1000,4.76,200
KMER,5.47,3.99,200
KAVX,1000,1000,200
0O2,1000,1000,200
KBFL,5.58,4.62,200
L45,3.58,2.75,200
KBNG,1000,1000,200
O02,1000,1000,200
O55,1000,1000,200
L35,3.67,3.19,200
KBIH,4.37,4.17,200
D83,1000,1000,200
L08,1000,1000,200
KBWC,3.50,3.79,200
O57,1000,1000,200
KBUR,6.55,4.28,200
L62,1000,1000,200
C83,1000,1000,200
L71,1000,1000,200
KCLR,1000,1000,200
KCMA,4.70,2.75,200
O61,1000,1000,200
KCRQ,4.99,4.81,200
O59,1000,1000,200
49X,1000,1000,200
O05,4.73,4.03,200
KCIC,4.89,4.24,200
L77,1000,1000,200
2O6,1000,1000,200
O60,1000,1000,200
3O8,1000,1000,200
C80,1000,1000,200
O22,3.09,3.95,200
O08,1000,1000,200
KCPM,1000,1000,200
KCCR,4.50,3.60,200
KAJO,1000,1000,200
O09,1000,1000,200
KCEC,4.89,4.80,200
KDAG,5.95,5.70,200
KEDU,1000,1000,200
KDWA,4.89,4.50,200
L06,1000,1000,200
L09,1000,1000,200
KDLO,5.00,4.45,200
A32,1000,1000,200
1O6,1000,1000,200
KEMT,4.99,3.99,200
KBLU,1000,1000,200
KEKA,1000,1000,200
O33,1000,1000,200
O19,1000,1000,200
L18,1000,1000,200
L73,1000,1000,200
F34,1000,1000,200
A28,1000,1000,200
A30,1000,1000,200
KFOT,1000,1000,200
F72,1000,1000,200
KFAT,5.39,3.99,200
KFCH,1000,1000,200
KFUL,4.18,4.30,200
O16,1000,1000,200
0O9,1000,1000,200
E36,1000,1000,200
KGOO,3.91,4.43,200
E45,1000,1000,200
E55,1000,1000,200
3O1,1000,1000,200
KHAF,1000,1000,200
36S,1000,1000,200
KHHR,5.14,4.86,200
F62,1000,1000,200
KHWD,4.15,2.95,200
KHES,1000,1000,200
KHMT,3.75,3.85,200
H37,1000,1000,200
KCVH,3.95,3.53,200
1C9,1000,1000,200
O21,1000,1000,200
H47,1000,1000,200
KIPL,3.50,3.79,200
2O7,1000,1000,200
KIYK,3.20,4.47,200
KJAQ,3.59,3.59,200
L78,1000,1000,200
KKIC,1000,1000,200
S51,1000,1000,200
KPOC,5.59,4.49,200
1O2,1000,1000,200
KWJF,5.29,4.49,200
O24,1000,1000,200
KLHM,4.39,5.33,200
KLLR,1000,1000,200
KLVK,4.15,3.95,200
O20,1000,1000,200
L53,1000,1000,200
KLPC,4.07,3.96,200
O26,4.43,1000,200
KLGB,5.92,6.50,200
KWHP,3.99,3.89,200
KLAX,5.14,6.05,200
KLSN,4.95,3.35,200
KMAE,4.58,3.99,200
KOAR,3.48,3.50,200
KMPI,3.35,1000,200
M45,1000,1000,200
KMYV,4.39,4.99,200
M90,1000,1000,200
KMCE,4.85,4.52,200
KMOD,3.45,3.99,200
KSIY,1000,1000,200
1O5,1000,1000,200
KMRY,3.99,3.88,200
F70,3.70,2.89,200
KAPC,4.64,3.93,200
KEED,4.99,4.75,200
KDVO,4.60,3.85,200
O27,1000,1000,200
KOAK,6.49,4.33,200
KOKB,3.80,1000,200
L90,1000,1000,200
KONT,3.79,2.95,200
O37,1000,1000,200
KOVE,4.25,4.25,200
KOXR,4.75,3.00,200
KPSP,5.80,5.27,200
KTRM,4.01,2.37,200
KUDD,4.36,5.27,200
KPAO,4.15,3.44,200
KPRB,3.87,3.80,200
L65,1000,1000,200
O69,3.75,4.50,200
KPVF,1000,1000,200
KPTV,4.70,4.25,200
2O1,1000,1000,200
KRNM,4.25,3.50,200
KRIU,5.30,5.50,200
KRBL,5.00,4.30,200
KRDD,4.89,4.29,200
O85,5.29,5.19,200
KREI,1000,1000,200
O32,4.50,4.90,200
L36,1000,1000,200
O88,1000,1000,200
KRIV,5.05,3.91,200
KRIR,1000,1000,200
L00,1000,1000,200
T42,1000,1000,200
KSAC,3.73,4.39,200
KMCC,3.73,4.39,200
KMHR,3.73,4.39,200
KSMF,3.73,4.39,200
KSNS,3.99,3.88,200
KSAS,1000,1000,200
KSBD,3.79,3.23,200
KSQL,3.95,2.95,200
KMYF,4.69,3.59,200
KSDM,3.35,2.99,200
KSAN,4.69,3.99,200
KSEE,4.45,3.49,200
KSFO,6.49,4.33,200
KSJC,5.77,6.50,200
KRHV,4.29,3.39,200
E16,4.60,4.79,200
KSNA,4.45,3.23,200
KSBA,3.93,5.66,200
KSMX,4.12,4.06,200
KSMO,5.14,4.86,200
KSZP,1000,1000,200
KSTS,4.64,3.93,200
KIZA,3.95,3.49,200
0Q3,1000,1000,200
KMIT,5.09,3.90,200
0Q5,1000,1000,200
L61,1000,1000,200
O79,1000,1000,200
0Q9,1000,1000,200
KTVL,5.99,4.99,200
KSCK,5.52,5.08,200
1Q1,1000,1000,200
KSVE,4.18,4.78,200
L17,4.74,3.40,200
KTSP,3.60,2.58,200
L94,1000,1000,200
KTOA,1000,1000,200
KTCY,3.60,2.99,200
1Q4,1000,1000,200
O86,1000,1000,200
L72,1000,1000,200
KTRK,4.06,3.90,200
O81,1000,1000,200
O15,1000,1000,200
KTNP,1000,1000,200
KUKI,4.85,5.00,200
KCCB,3.39,2.46,200
1Q5,1000,1000,200
KVCB,3.50,4.05,200
KVCV,5.08,4.01,200
KVIS,4.35,4.25,200
D86,1000,1000,200
L19,1000,1000,200
KWVI,3.50,3.50,200
O54,1000,1000,200
O46,5.29,4.69,200
O28,1000,1000,200
KWLW,1000,1000,200
O41,4.70,3.61,200
O52,1000,1000,200
L22,1000,1000,200
KAKO,4.69,3.79,200
KALS,4.25,4.18,200
KASE,4.42,3.74,200
05V,1000,1000,200
KBDU,3.79,3.89,200
7V5,1000,1000,200
KITR,4.35,3.40,200
5V4,1000,1000,200
1V6,3.95,3.45,200
1V8,1000,1000,200
KCOS,4.59,3.73,200
KFLY,1000,1000,200
KCEZ,5.70,4.95,200
KCAG,5.00,4.00,200
99V,1000,1000,200
KRCV,1000,1000,200
KAJZ,4.15,3.35,200
D17,1000,1000,200
KAPA,4.42,3.74,200
KBJC,3.99,3.74,200
KDEN,7.00,6.31,200
KCFO,4.50,4.44,200
8V6,1000,1000,200
KDRO,5.98,6.25,200
9V7,1000,1000,200
KEGE,4.42,3.74,200
CO4,1000,1000,200
KEIK,3.80,3.23,200
KFNL,4.45,3.66,200
KFMM,1000,3.65,200
KGWS,4.00,4.98,200
KGJT,4.20,4.50,200
KGXY,3.80,3.66,200
11V,1000,1000,200
KGUC,5.70,6.25,200
17V,1000,1000,200
KHDN,5.30,5.95,200
K08,1000,1000,200
KHEQ,1000,3.95,200
18V,1000,1000,200
20V,3.94,3.30,200
KLHX,4.45,3.90,200
07V,1000,1000,200
KLAA,4.60,3.99,200
7V9,1000,1000,200
KLXV,1000,1000,200
KLIC,1000,1000,200
KLMO,1000,1000,200
KEEO,5.03,5.03,200
KMTJ,4.81,6.29,200
KAIB,1000,1000,200
KPSO,4.85,5.80,200
7V2,1000,1000,200
KPUB,4.99,3.79,200
4V0,1000,1000,200
KRIL,4.50,6.55,200
KANK,4.75,4.62,200
8V7,1000,1000,200
KSBS,4.48,3.99,200
KSTK,4.50,3.51,200
KTEX,4.81,6.29,200
KTAD,3.50,3.60,200
33V,1000,1000,200
4V1,3.34,2.56,200
C08,1000,1000,200
2V6,1000,1000,200
KBDR,5.40,3.65,200
KSNC,1000,1000,200
KDXR,4.51,2.80,200
KLZD,1000,1000,200
42B,1000,1000,200
7B9,1000,1000,200
KGON,5.10,4.47,200
KHFD,4.99,4.97,200
KMMK,1000,1000,200
KHVN,5.92,5.80,200
11N,1000,1000,200
KOXC,6.41,5.70,200
4B8,4.75,4.70,200
C44,1000,1000,200
4B9,1000,1000,200
7B6,1000,1000,200
N41,1000,1000,200
KBDL,4.99,4.97,200
KHEF,5.35,4.25,200
KIAD,6.00,5.39,200
KDCA,1000,1000,200
KDOV,1000,1000,200
0N4,1000,1000,200
33N,1000,1000,200
D74,1000,1000,200
0N6,1000,1000,200
KGED,4.28,4.15,200
KEVY,4.91,4.99,200
38N,1000,1000,200
KILG,5.59,5.25,200
15N,1000,1000,200
KAAF,4.79,4.89,200
F47,1000,1000,200
X04,3.40,2.53,200
0J8,1000,1000,200
KAVO,3.68,4.85,200
KBOW,2.95,4.02,200
X10,1000,1000,200
F95,3.95,3.60,200
KBCT,5.49,4.12,200
1J0,3.74,3.60,200
KBKV,2.99,3.99,200
X05,1000,1000,200
KCDK,1000,1000,200
KCLW,4.55,3.99,200
2IS,3.31,2.50,200
KCEW,4.25,3.95,200
KCTY,1000,1000,200
KCGC,5.20,5.05,200
KDAB,4.03,4.82,200
54J,4.25,3.90,200
KDED,1000,1000,200
KDTS,4.25,3.95,200
X35,3.05,2.05,200
X36,1000,1000,200
X55,1000,1000,200
X01,1000,1000,200
KFHB,4.22,2.42,200
KFXE,5.48,2.79,200
KFLL,4.09,2.29,200
KFMY,2.78,3.24,200
KFPR,4.15,3.65,200
KGNV,3.71,4.07,200
6J8,1000,1000,200
01J,1000,1000,200
KHWO,4.24,3.75,200
X51,4.15,4.05,200
KIMM,2.78,2.35,200
X58,1000,1000,200
KINF,3.89,3.79,200
KCRG,4.20,2.37,200
KVQQ,4.22,2.42,200
KHEG,3.41,2.42,200
KEYW,6.92,6.00,200
42J,2.76,2.08,200
X14,1000,1000,200
KLCQ,3.13,3.50,200
X07,3.30,3.70,200
X25,1000,1000,200
X49,1000,1000,200
KLEE,3.94,3.95,200
24J,1000,1000,200
KMTH,1000,1000,200
KMKY,2.91,3.69,200
KMAI,3.74,3.12,200
KMLB,5.07,4.63,200
KCOI,4.20,4.64,200
KOPF,4.09,2.29,200
KTMB,4.75,4.24,200
KTNT,1000,1000,200
2R4,4.10,3.95,200
KAPF,2.71,3.24,200
1J9,1000,1000,200
KEVB,5.02,5.18,200
X50,3.30,2.39,200
KOCF,4.27,5.32,200
KOBE,5.20,5.49,200
KISM,4.31,4.41,200
KSFB,4.72,4.43,200
KMCO,6.48,5.80,200
KOMN,4.14,4.45,200
KPHK,5.69,5.76,200
28J,2.78,2.64,200
KFIN,2.78,2.61,200
2J0,1000,1000,200
KECP,4.25,3.90,200
KPNS,4.25,3.95,200
82J,3.80,3.20,200
KFPY,3.47,2.48,200
2J8,1000,1000,200
KPCM,4.90,4.40,200
KPMP,3.89,3.49,200
A51,1000,1000,200
F13,1000,1000,200
2J9,1000,1000,200
2RR,1000,1000,200
KSRQ,5.92,5.60,200
X26,1000,1000,200
KSEF,1000,1000,200
KSGJ,4.22,2.42,200
KSPG,3.99,4.32,200
KPIE,5.29,5.14,200
KTLH,4.44,5.39,200
KTPA,5.28,5.20,200
